,predict_adr
0,101.62749
1,56.81878
2,63.61145
3,121.9459
4,198.24553
5,85.931206
6,126.575005
7,191.50368
8,129.91673
9,88.04277
10,140.85794
11,109.510284
12,114.963
13,47.827156
14,134.88261
15,195.60194
16,109.59703
17,139.40782
18,54.575256
19,88.04277
20,53.708797
21,61.95457
22,98.70963
23,67.93701
24,68.81351
25,115.382675
26,115.382675
27,87.95792
28,83.85617
29,121.79993
30,157.66714
31,100.40161
32,88.04277
33,88.04277
34,53.654816
35,114.00991
36,80.10045
37,116.139015
38,9.706382
39,12.461828
40,78.31156
41,33.815197
42,170.6608
43,121.06442
44,114.82332
45,74.59244
46,87.23526
47,87.23526
48,87.23526
49,114.82521
50,148.67618
51,100.46725
52,109.02274
53,193.73026
54,214.92148
55,103.71265
56,94.73346
57,38.668697
58,153.28671
59,96.92752
60,96.600494
61,82.77441
62,148.67618
63,84.616104
64,84.1358
65,140.71198
66,141.24287
67,85.99862
68,85.99862
69,97.21468
70,87.26702
71,75.00151
72,89.3279
73,91.98801
74,85.30071
75,97.315575
76,85.877014
77,88.04277
78,88.04277
79,94.38651
80,65.883484
81,85.99862
82,48.977207
83,137.09764
84,53.81091
85,82.191925
86,126.76345
87,88.04277
88,113.83327
89,75.00151
90,88.04277
91,80.98733
92,140.98091
93,105.21797
94,66.11733
95,51.310524
96,77.431564
97,88.04277
98,8.937724
99,87.26702
100,116.484276
101,105.305244
102,71.344154
103,88.04277
104,88.04277
105,88.04277
106,88.04277
107,188.83694
108,59.265858
109,52.158146
110,169.38922
111,110.62068
112,63.78776
113,51.5439
114,92.99463
115,99.43347
116,81.55595
117,26.824463
118,25.739141
119,58.4824
120,75.96262
121,73.72186
122,78.62845
123,36.24267
124,71.344154
125,88.04277
126,0.48587292
127,85.99862
128,74.83867
129,58.209244
130,0.48587292
131,73.99359
132,87.71232
133,93.20826
134,67.49811
135,90.014885
136,110.395454
137,74.4657
138,109.51394
139,95.46816
140,117.87741
141,63.601917
142,108.561714
143,100.84015
144,97.02245
145,50.109516
146,82.6891
147,67.57672
148,97.906296
149,121.96776
150,97.02245
151,87.967545
152,101.94768
153,145.92355
154,98.707695
155,115.522766
156,82.66859
157,105.36756
158,136.49544
159,106.027985
160,104.76972
161,83.364494
162,100.03087
163,93.218864
164,80.94196
165,111.30916
166,91.816734
167,48.28445
168,113.2222
169,19.285454
170,56.189556
171,91.79846
172,74.4657
173,97.553375
174,74.066765
175,144.19846
176,55.628624
177,192.31845
178,94.540955
179,106.35455
180,101.56623
181,133.84447
182,114.08074
183,87.73969
184,77.29288
185,99.62926
186,97.02245
187,114.08074
188,73.217964
189,101.94768
190,94.43623
191,98.33884
192,85.99032
193,208.53964
194,209.81694
195,111.22949
196,66.29807
197,68.73167
198,61.679848
199,123.06501
200,75.10185
201,87.950325
202,42.985332
203,87.71232
204,64.52833
205,168.98329
206,74.81637
207,75.33934
208,55.570606
209,55.331924
210,99.96087
211,97.02245
212,97.02245
213,92.42946
214,20.6937
215,85.361244
216,94.188896
217,131.3671
218,95.278
219,114.08074
220,97.553375
221,70.93539
222,145.92355
223,145.92355
224,137.0401
225,70.93539
226,110.52708
227,81.89667
228,63.344643
229,67.14457
230,63.875458
231,80.4091
232,55.12426
233,13.59597
234,112.86368
235,187.2419
236,91.31401
237,80.4091
238,180.8874
239,83.009285
240,78.073814
241,64.84314
242,89.18657
243,80.4091
244,80.4091
245,80.4091
246,68.55714
247,80.4091
248,85.85484
249,80.4091
250,77.720894
251,80.4091
252,80.4091
253,80.4091
254,67.483086
255,80.4091
256,61.59983
257,80.4091
258,80.4091
259,80.4091
260,57.45751
261,57.45751
262,80.4091
263,80.4091
264,100.06008
265,77.720894
266,80.4091
267,105.37498
268,45.670536
269,33.549503
270,33.549503
271,33.549503
272,33.549503
273,33.549503
274,33.549503
275,33.549503
276,19.343618
277,72.82197
278,33.549503
279,72.82197
280,70.71551
281,170.20279
282,92.61306
283,44.210606
284,74.442955
285,80.4091
286,80.4091
287,105.37498
288,124.317314
289,46.0007
290,148.42854
291,33.549503
292,21.362986
293,97.7952
294,53.67504
295,80.00126
296,91.98253
297,-19.187462
298,96.40471
299,58.514496
300,94.82548
301,80.4091
302,80.4091
303,58.514496
304,56.918083
305,80.4091
306,-10.861372
307,58.30441
308,57.620617
309,33.549503
310,33.549503
311,13.615311
312,12.772404
313,68.55714
314,13.615311
315,33.549503
316,33.549503
317,113.898
318,79.38735
319,134.16142
320,96.40471
321,92.02646
322,101.614586
323,91.03541
324,91.03541
325,103.80196
326,107.43019
327,146.71811
328,92.011406
329,202.72794
330,78.162224
331,76.70806
332,97.780396
333,86.075645
334,88.24731
335,143.02354
336,89.96285
337,64.91909
338,73.78758
339,50.90082
340,67.090385
341,90.14975
342,90.14975
343,101.76457
344,120.31873
345,69.34592
346,70.7169
347,108.30761
348,80.4091
349,71.70762
350,96.71751
351,87.368416
352,69.34592
353,213.85307
354,100.38172
355,101.94128
356,54.341747
357,86.78463
358,109.606064
359,100.38172
360,23.04624
361,100.38172
362,89.15711
363,23.04624
364,137.02467
365,100.38172
366,-10.861372
367,68.89182
368,58.808334
369,99.153
370,92.57463
371,87.614265
372,101.94128
373,23.04624
374,48.914127
375,110.04966
376,37.949543
377,40.825893
378,73.57196
379,73.57196
380,11.796462
381,71.39264
382,58.65497
383,62.78279
384,216.8964
385,30.025215
386,115.81933
387,129.96652
388,78.87033
389,94.11748
390,90.14975
391,154.3094
392,90.14975
393,76.88676
394,91.33331
395,79.38735
396,79.38735
397,150.39488
