,adr
0,102.0592
1,53.265686
2,45.16983
3,123.73944
4,205.65698
5,94.606674
6,112.91019
7,192.19948
8,110.843925
9,90.02801
10,141.79259
11,97.5421
12,117.71269
13,24.293404
14,131.23784
15,203.17711
16,98.33094
17,153.01982
18,54.66499
19,90.02801
20,47.021343
21,60.878345
22,95.23411
23,73.72213
24,73.72213
25,104.31299
26,104.31299
27,95.448685
28,92.89413
29,127.70815
30,164.66183
31,88.98796
32,90.02801
33,90.02801
34,51.82756
35,107.41735
36,88.94595
37,116.44339
38,12.995601
39,13.574444
40,81.28667
41,38.84023
42,159.90076
43,115.198616
44,104.021996
45,66.27365
46,89.97359
47,84.46917
48,89.97359
49,108.75914
50,143.94008
51,105.356346
52,74.089645
53,216.42929
54,215.98004
55,93.93966
56,79.81862
57,35.10291
58,154.43826
59,101.24173
60,101.41121
61,83.38718
62,143.94008
63,95.13592
64,89.862885
65,142.65642
66,142.74052
67,84.41582
68,84.41582
69,97.11128
70,82.069374
71,77.218864
72,106.301155
73,90.848015
74,76.570366
75,91.52141
76,86.58226
77,90.02801
78,90.02801
79,93.53456
80,56.487286
81,84.41582
82,47.098915
83,128.70772
84,50.439552
85,86.64988
86,119.940765
87,90.02801
88,113.80728
89,77.218864
90,90.02801
91,77.05333
92,146.70341
93,109.1708
94,55.09637
95,52.09385
96,63.155296
97,90.02801
98,3.182519
99,82.069374
100,108.44983
101,107.72329
102,63.512123
103,90.02801
104,90.02801
105,90.02801
106,90.02801
107,190.90884
108,44.65811
109,45.01067
110,159.35037
111,110.780464
112,60.788742
113,53.178486
114,102.41324
115,80.83479
116,83.41445
117,16.560497
118,19.400658
119,59.234905
120,62.121754
121,76.24551
122,80.336075
123,27.221975
124,63.512123
125,90.02801
126,-4.739035
127,84.41582
128,74.937584
129,46.770756
130,-4.739035
131,62.432667
132,90.85266
133,98.69244
134,69.72781
135,88.18876
136,108.778046
137,56.52518
138,96.94919
139,92.76929
140,111.408646
141,62.906025
142,102.5406
143,85.818214
144,97.056725
145,44.06891
146,69.95697
147,57.010532
148,99.17687
149,116.015144
150,97.056725
151,90.29837
152,99.86055
153,153.50433
154,87.476265
155,109.0645
156,86.822464
157,108.39031
158,126.894226
159,99.82368
160,94.831055
161,82.20871
162,95.047325
163,73.51791
164,77.45467
165,100.56833
166,92.60052
167,48.807407
168,108.11802
169,18.065348
170,55.830368
171,78.62904
172,56.52518
173,97.59233
174,65.37789
175,127.98077
176,47.616013
177,212.26906
178,89.10692
179,105.76475
180,93.979935
181,123.679634
182,109.22844
183,67.53845
184,71.97405
185,98.334564
186,97.056725
187,109.22844
188,58.104588
189,99.86055
190,93.86507
191,95.06488
192,95.20537
193,209.9529
194,207.92874
195,104.58464
196,52.104965
197,69.851494
198,47.871407
199,118.1682
200,57.47422
201,73.36999
202,46.390697
203,91.12525
204,69.83087
205,163.21274
206,58.042244
207,59.236088
208,41.182384
209,55.95837
210,92.61518
211,97.056725
212,97.056725
213,92.60052
214,31.226212
215,51.85487
216,114.02029
217,120.46642
218,99.53015
219,108.7241
220,97.59233
221,73.93177
222,153.50433
223,153.50433
224,114.36707
225,73.93177
226,99.56076
227,85.19842
228,55.996243
229,68.09049
230,69.76347
231,86.43874
232,41.92716
233,-13.860619
234,115.37548
235,190.662
236,103.14115
237,86.43874
238,175.55753
239,90.48289
240,83.86774
241,49.810352
242,88.73082
243,86.43874
244,86.43874
245,86.43874
246,52.12035
247,86.43874
248,75.17938
249,86.43874
250,83.76047
251,86.43874
252,86.43874
253,86.43874
254,48.52251
255,86.43874
256,54.478737
257,86.43874
258,86.43874
259,86.43874
260,58.483673
261,59.45305
262,86.43874
263,86.43874
264,106.797714
265,83.76047
266,86.43874
267,119.5757
268,66.33642
269,50.25196
270,46.88366
271,50.25196
272,50.25196
273,46.88366
274,46.88366
275,50.25196
276,16.59108
277,62.85138
278,50.25196
279,62.85138
280,80.69923
281,141.14288
282,81.61413
283,49.94262
284,59.109917
285,86.43874
286,86.43874
287,111.76599
288,109.71105
289,49.656754
290,143.80444
291,50.25196
292,37.471645
293,93.38559
294,56.0737
295,87.108765
296,71.65405
297,-18.386827
298,105.86624
299,36.479176
300,101.91543
301,86.43874
302,86.43874
303,36.479176
304,43.355034
305,86.43874
306,13.835198
307,47.271717
308,42.553955
309,50.25196
310,50.25196
311,12.431242
312,11.007119
313,54.255367
314,12.431242
315,50.25196
316,50.25196
317,107.5605
318,91.55587
319,133.19298
320,105.86624
321,81.076935
322,92.073555
323,91.16385
324,91.66819
325,96.35474
326,102.01733
327,142.45685
328,82.26547
329,178.20798
330,74.35385
331,79.78622
332,93.37044
333,85.581726
334,90.13105
335,131.80025
336,81.83318
337,54.29385
338,91.47233
339,38.55857
340,78.2272
341,88.75591
342,88.75591
343,105.37008
344,121.1679
345,66.166016
346,72.48206
347,107.76215
348,86.43874
349,76.975006
350,80.68491
351,87.228386
352,66.166016
353,217.68915
354,91.52833
355,94.07812
356,43.12494
357,68.72053
358,109.69834
359,92.03267
360,12.856637
361,92.03267
362,83.88482
363,12.856637
364,137.91457
365,91.52833
366,13.835198
367,52.67806
368,43.264854
369,99.72982
370,90.60701
371,83.61223
372,94.07812
373,12.856637
374,44.463345
375,99.17914
376,39.80221
377,37.186913
378,74.806786
379,74.806786
380,-12.177062
381,54.504704
382,61.319244
383,69.08318
384,261.21555
385,25.908772
386,102.50161
387,122.59262
388,78.22392
389,90.49248
390,88.75591
391,111.71846
392,88.75591
393,89.68221
394,88.237816
395,91.55587
396,91.55587
397,144.56107
398,91.55587
399,104.046555
400,86.43874
401,86.43874
402,91.55587
403,82.47295
404,91.55587
405,180.19667
406,99.18522
407,91.55587
408,98.57746
409,86.43874
410,119.618774
411,86.43874
412,86.43874
413,86.43874
414,86.43874
415,52.299736
416,86.43874
417,107.04434
418,86.43874
419,50.92302
420,91.55587
421,91.55587
422,87.228386
423,91.55587
424,91.55587
425,91.55587
426,79.4202
427,87.228386
428,91.55587
429,86.43874
430,78.669014
431,76.86177
432,91.55587
433,88.75591
434,101.5848
435,88.75591
436,99.18522
437,77.537704
438,88.75591
439,88.75591
440,91.52833
441,99.72982
442,88.75591
443,88.75591
444,98.6748
445,88.75591
446,88.75591
447,99.18522
448,88.75591
449,88.75591
450,83.63346
451,88.75591
452,88.75591
453,77.76626
454,88.75591
455,88.75591
456,79.485886
457,81.59399
458,88.75591
459,176.74675
460,82.38407
461,88.07638
462,142.13084
463,100.703964
464,96.901054
465,67.55658
466,72.36756
467,105.79037
468,108.86244
469,89.044624
470,101.34549
471,82.92049
472,83.88708
473,88.73827
474,146.9951
475,104.4122
476,87.622925
477,16.47693
478,100.24395
479,26.289629
480,89.9668
481,106.704605
482,113.42472
483,85.334656
484,98.926384
485,25.391556
486,1.2252245
487,92.54555
488,192.79324
489,110.60759
490,75.966034
491,76.53448
492,75.966034
493,75.966034
494,75.966034
495,88.368744
496,32.24588
