,is_canceled
0,0
1,1
2,0
3,1
4,1
5,0
6,0
7,1
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,1
26,1
27,0
28,0
29,1
30,0
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,1
69,0
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,1
79,0
80,0
81,1
82,0
83,1
84,0
85,0
86,0
87,1
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,1
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,1
116,1
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,1
135,1
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,1
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,1
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,0
278,1
279,0
280,0
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,1
292,0
293,0
294,0
295,0
296,1
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,0
312,0
313,0
314,0
315,1
316,1
317,0
318,1
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,1
341,1
342,1
343,1
344,1
345,0
346,1
347,1
348,0
349,1
350,1
351,1
352,0
353,1
354,1
355,0
356,0
357,0
358,0
359,0
360,1
361,0
362,0
363,1
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,0
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,0
400,0
401,0
402,1
403,0
404,1
405,1
406,0
407,1
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,1
421,1
422,1
423,1
424,1
425,1
426,0
427,1
428,1
429,0
430,0
431,0
432,1
433,1
434,0
435,1
436,0
437,0
438,1
439,1
440,1
441,1
442,1
443,1
444,0
445,1
446,1
447,0
448,1
449,1
450,0
451,1
452,1
453,0
454,1
455,1
456,1
457,0
458,1
459,0
460,1
461,0
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,0
490,1
491,0
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,0
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,0
520,0
521,1
522,1
523,0
524,0
525,0
526,0
527,1
528,1
529,1
530,1
531,1
532,1
533,0
534,0
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,0
545,0
546,0
547,0
548,0
549,0
550,1
551,0
552,0
553,0
554,1
555,0
556,0
557,0
558,0
559,0
560,1
561,0
562,0
563,0
564,0
565,1
566,1
567,1
568,1
569,1
570,1
571,0
572,1
573,1
574,1
575,1
576,0
577,1
578,0
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,0
592,1
593,0
594,0
595,1
596,1
597,1
598,1
599,0
600,1
601,1
602,1
603,1
604,0
605,1
606,0
607,1
608,1
609,0
610,1
611,0
612,0
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
625,1
626,0
627,0
628,1
629,1
630,1
631,1
632,1
633,1
634,0
635,0
636,0
637,0
638,0
639,0
640,1
641,1
642,0
643,1
644,1
645,1
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,0
676,0
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,0
685,1
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,1
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,1
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,1
801,0
802,0
803,1
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,1
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,1
828,0
829,1
830,0
831,0
832,0
833,0
834,0
835,0
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,0
846,1
847,0
848,1
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,1
858,0
859,1
860,1
861,1
862,1
863,0
864,1
865,1
866,1
867,0
868,0
869,0
870,0
871,0
872,1
873,0
874,1
875,1
876,0
877,1
878,0
879,0
880,0
881,0
882,0
883,1
884,0
885,1
886,1
887,0
888,0
889,0
890,1
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,1
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,1
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,1
940,0
941,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,0
950,1
951,1
952,0
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,0
967,1
968,1
969,0
970,1
971,1
972,1
973,1
974,1
975,1
976,0
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,0
995,1
996,1
997,1
998,1
999,0
1000,1
1001,1
1002,1
1003,1
1004,1
1005,0
1006,0
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,0
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,0
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,0
1052,1
1053,0
1054,0
1055,1
1056,0
1057,1
1058,0
1059,1
1060,1
